Date,Close/Last,Volume,Open,High,Low
03/11/2021,$273.88,21833980,$268.11,$277.9,$267.82
03/10/2021,$264.9,14210320,$268.64,$268.97,$262.87
03/09/2021,$265.74,22039740,$261.175,$268.53,$259.81
03/08/2021,$255.31,18391770,$265.55,$265.58,$255.05
03/05/2021,$264.28,26820060,$260.67,$265.45,$255.61
03/04/2021,$257.64,31626460,$256.47,$266.49,$253.5
03/03/2021,$255.41,15513520,$260.29,$260.9899,$255.1
03/02/2021,$259,15191720,$265.78,$266.71,$258.65
03/01/2021,$264.91,22157260,$260.82,$266.65,$257.9039
02/26/2021,$257.62,26619520,$256.47,$265.55,$256.47
02/25/2021,$254.69,19053140,$262.3,$266.94,$254.04
02/24/2021,$264.31,15736120,$262.325,$266.38,$258.39
02/23/2021,$265.855,21924560,$259.5,$267.46,$254.96
02/22/2021,$260.33,17434870,$257.95,$263.07,$257.53
02/19/2021,$261.56,25622590,$269.86,$270.27,$260.15
02/18/2021,$269.39,15249130,$269.565,$271.95,$266.03
02/17/2021,$273.57,12763240,$271.24,$273.97,$269.58
02/16/2021,$273.97,15417240,$270.8,$276.6,$270.05
02/12/2021,$270.5,9097597,$270.52,$271.18,$268.34
02/11/2021,$270.39,12828570,$271.89,$273.58,$268.49
02/10/2021,$271.87,14687150,$272.4465,$273.7999,$267.72
02/09/2021,$269.45,14613380,$266.44,$273.39,$265.75
02/08/2021,$266.58,13755190,$268.75,$269.86,$265
02/05/2021,$268.1,12454370,$266.8,$269.17,$265.67
