Date,Close/Last,Volume,Open,High,Low
07/15/2021,$141.46,6667440,$144.12,$144.14,$140.72
07/14/2021,$143.75,11305730,$143.5,$146.34,$142.5
07/13/2021,$141.18,5657645,$142.44,$142.66,$140.42
07/12/2021,$142.47,6786522,$141.4,$143.02,$141.2
07/09/2021,$141.43,7356808,$137.89,$141.73,$137.81
07/08/2021,$138.29,7501092,$137.72,$138.87,$135.6
07/07/2021,$139.97,5034862,$142.24,$142.36,$139.0612
07/06/2021,$141.19,7095210,$143,$143.18,$139.68
07/02/2021,$142.58,5399721,$141.99,$142.68,$141.25
07/01/2021,$140.8,6094085,$142.91,$143.02,$140.35
06/30/2021,$142.93,6449659,$142.35,$143.628,$141.84
06/29/2021,$142.62,6885355,$139.632,$142.95,$139.25
06/28/2021,$139.72,6645474,$138.23,$140.17,$137.98
06/25/2021,$137.65,7949190,$138.45,$139.47,$136.97
06/24/2021,$137.92,7941660,$136.619,$138.51,$136.35
06/23/2021,$135.52,6613763,$134.89,$136.23,$134.81
06/22/2021,$135.08,5976376,$134.22,$135.31,$133.29
06/21/2021,$133.96,6371423,$133.05,$135.1,$132.66
06/18/2021,$133,12753570,$134.55,$134.58,$132.24
06/17/2021,$135.35,6618346,$134.31,$136.62,$134.09
06/16/2021,$134.95,7404737,$136.47,$137.05,$133.66
06/15/2021,$135.58,5723574,$137.14,$137.38,$135.23
06/14/2021,$137.31,7912621,$135.195,$137.31,$134.7869
06/11/2021,$134.62,6529894,$133.8,$134.65,$133.65
06/10/2021,$134.22,5522273,$133.05,$135.1,$132.58
06/09/2021,$132.89,6717243,$135.105,$135.35,$132.79
06/08/2021,$134.2,9657889,$134.06,$135.3895,$133
06/07/2021,$133.32,5563253,$133.7,$133.77,$132.64
06/04/2021,$134.34,7416675,$132.525,$135.05,$132.2
06/03/2021,$131.78,6643997,$132.65,$133.39,$131.42
06/02/2021,$133.82,6025988,$133.18,$134.73,$132.47
06/01/2021,$133.94,7059614,$135.104,$136.07,$133.53
05/28/2021,$134.54,7044084,$134.154,$135.64,$133.95
05/27/2021,$133.64,7379260,$132.73,$134.64,$132.71
05/26/2021,$133.09,6663325,$133.87,$134.52,$132.22
05/25/2021,$133.75,7271428,$133.54,$134.3,$132.8
05/24/2021,$132.91,8229331,$131.33,$134,$131.33
05/21/2021,$131.46,8673957,$132.14,$132.6897,$130.49
05/20/2021,$132.64,9208354,$131.529,$133.28,$131.46
05/19/2021,$130.66,8112930,$127.185,$130.83,$126.45
05/18/2021,$128.91,8651133,$130.64,$131.24,$128.79
05/17/2021,$129.8,5913245,$129.29,$129.83,$127.71
05/14/2021,$130.15,9391122,$128.63,$131.42,$127.81
05/13/2021,$127.11,10635090,$127.12,$128.48,$125.87
05/12/2021,$124.62,13529630,$126.029,$127.13,$123.68
05/11/2021,$128.37,11947960,$125.25,$128.56,$124.77
05/10/2021,$128.94,19537230,$136.02,$136.68,$128.82
05/07/2021,$137.85,6893704,$136.937,$138.69,$136.29
05/06/2021,$136,8352536,$134.49,$136.54,$133.095
05/05/2021,$134.65,6285459,$136.08,$136.45,$134.11
05/04/2021,$134.12,11996280,$136,$136,$132.42
05/03/2021,$137.43,7920307,$139.7,$139.76,$136.87
04/30/2021,$138.8,11374600,$141.07,$142.09,$138.26
04/29/2021,$142.68,20502140,$145.01,$145.2965,$140.67
04/28/2021,$136.57,13118140,$138.17,$138.2731,$135.75
04/27/2021,$138.01,9284499,$138.71,$139.38,$136.98
04/26/2021,$138.96,9715383,$135.33,$139.69,$135.12
04/23/2021,$135.43,7669057,$133.74,$136.1064,$133.535
04/22/2021,$132.97,8345144,$135.37,$135.96,$132.47
04/21/2021,$136.19,7237924,$132.82,$136.365,$132.5
04/20/2021,$133.4,7473703,$134.55,$134.78,$132.79
04/19/2021,$135.25,8728948,$136.9,$137.05,$134.085
04/16/2021,$138.21,6583895,$137.62,$139.005,$136.65
04/15/2021,$137.84,11733240,$136,$137.99,$135.57
04/14/2021,$134.75,9967790,$137.08,$137.84,$133.91
04/13/2021,$137.3,9225208,$138.38,$138.77,$135.75
04/12/2021,$137.44,10355530,$138.86,$139.89,$136.05
04/09/2021,$140.57,6033171,$139.904,$140.68,$138.88
04/08/2021,$140.34,7304948,$140,$140.37,$138.81
04/07/2021,$139.43,6958516,$138.33,$139.95,$137.4
04/06/2021,$138.06,9099981,$139.85,$140.23,$137.635
04/05/2021,$140.33,12562770,$139.04,$140.5,$138.23
04/01/2021,$137.79,14069560,$134.5,$138.4321,$133.6
03/31/2021,$132.59,8361293,$130.96,$133.52,$130.57
03/30/2021,$130.11,7097298,$130.17,$131.24,$129.065
03/29/2021,$131.27,9750057,$132.54,$133.34,$129.77
03/26/2021,$132.99,11071560,$127.06,$133.35,$127.04
03/25/2021,$127.28,10460760,$126.66,$127.6384,$124.39
03/24/2021,$127.18,10962260,$132.99,$133.06,$127.11
03/23/2021,$132.52,7425650,$134,$134.355,$131.4119
